instanceCode,metrique,dateDebut,dateFin,niveauAlerte
IKGGGBNW,scoreAnomalieRepartition,28/01/21 03:00,28/01/21 03:30,Info
IKGGGBNW,scoreAnomalieRepartition,29/01/21 03:00,29/01/21 03:30,Info
IKGGGBNW,scoreAnomalieRepartition,30/01/21 03:00,30/01/21 03:30,Info
IKGGGBNW,scoreAnomalieRepartition,31/01/21 03:00,31/01/21 03:30,Info
IKGGGBNW,scoreAnomalieRepartition,01/02/21 03:00,01/02/21 03:30,Info
IKGGGBNW,scoreAnomalieRepartition,02/02/21 03:00,02/02/21 03:30,Info
IKGGGBNW,scoreAnomalieRepartition,03/02/21 03:00,03/02/21 03:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,28/01/21 04:00,28/01/21 04:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,28/01/21 05:00,28/01/21 05:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,28/01/21 08:30,28/01/21 09:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,28/01/21 09:00,28/01/21 09:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,28/01/21 09:30,28/01/21 10:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,28/01/21 10:00,28/01/21 10:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,28/01/21 10:30,28/01/21 11:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,28/01/21 11:00,28/01/21 11:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,28/01/21 11:30,28/01/21 12:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,28/01/21 12:00,28/01/21 12:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,28/01/21 20:30,28/01/21 21:00,Info
ALKMGBV9PA9,scoreAnomalieRepartition,29/01/21 00:00,29/01/21 00:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,29/01/21 08:00,29/01/21 08:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,29/01/21 08:30,29/01/21 09:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,29/01/21 09:00,29/01/21 09:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,29/01/21 09:30,29/01/21 10:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,29/01/21 10:00,29/01/21 10:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,29/01/21 10:30,29/01/21 11:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,29/01/21 11:00,29/01/21 11:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,29/01/21 11:30,29/01/21 12:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,29/01/21 12:00,29/01/21 12:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,29/01/21 23:00,29/01/21 23:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,30/01/21 00:00,30/01/21 00:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,30/01/21 20:30,30/01/21 21:00,Info
ALKMGBV9PA9,scoreAnomalieRepartition,30/01/21 21:00,30/01/21 21:30,Alarme
ALKMGBV9PA9,scoreAnomalieRepartition,30/01/21 21:30,30/01/21 22:00,Alarme
ALKMGBV9PA9,scoreAnomalieRepartition,30/01/21 22:00,30/01/21 22:30,Alarme
ALKMGBV9PA9,scoreAnomalieRepartition,30/01/21 22:30,30/01/21 23:00,Alarme
ALKMGBV9PA9,moyenneNbSessionsActives,30/01/21 22:30,30/01/21 23:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,30/01/21 23:00,30/01/21 23:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,30/01/21 23:00,30/01/21 23:30,Alarme
ALKMGBV9PA9,scoreAnomalieRepartition,30/01/21 23:30,31/01/21 00:00,Alarme
ALKMGBV9PA9,moyenneNbSessionsActives,31/01/21 00:00,31/01/21 00:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,31/01/21 00:00,31/01/21 00:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,31/01/21 00:30,31/01/21 01:00,Info
ALKMGBV9PA9,moyenneNbSessionsActives,31/01/21 00:30,31/01/21 01:00,Info
ALKMGBV9PA9,scoreAnomalieRepartition,31/01/21 01:00,31/01/21 01:30,Info
ALKMGBV9PA9,moyenneNbSessionsActives,31/01/21 06:00,31/01/21 06:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,31/01/21 06:00,31/01/21 06:30,Info
ALKMGBV9PA9,scoreAnomalieRepartition,31/01/21 22:30,31/01/21 23:00,Info
ALKMGBV9PA9,scoreAnomalieRepartition,31/01/21 23:00,31/01/21 23:30,Info
