Instance code,Instance lib,Déclinaison de Copilote,Version majeure de Copilote code,Version majeure de Copilote lib,Version de Copilote,Type BDD,Version BDD,Pool JDBC max,Pool JDBC min,Mémoire vive de la BDD,Max SGA,Nb de CPU de la BDD,Nombre max de curseurs pour une session,Nombre max de processus BDD,nbUsers
XNQDGBYNM58,ZMIFGBZ3,Ventes,V7_1,V7_1,V7_1,Oracle,11.2.0.3.0,150.0,,"25323270144,0","7600078848,0",16.0,2000.0,400.0,0
DTEWGBJ7,OEAFGBZ7D4Z,Superviseur,V2008_06_17,V2008_06_17,V2008_06_17,Oracle,11.2.0.3.0,,,"33471815680,0","7633633280,0",24.0,,,0
LFVGGBTXDE7,FQRZGBML,Ventes,V2014_02_03,V2014_02_03,V2014_02_03,Oracle,11.2.0.3.0,,,"33471815680,0","7633633280,0",24.0,,,0
IKGGGBNW,BGJOGBYE,Ventes,V11_1,V11_1,V11_1.0703761.15/05/2018 16:54,Oracle,11.2.0.3.0,150.0,,"67553763328,0","8053063680,0",32.0,2000.0,150.0,59
SJQOGBRXY0Q,CWIZGBUC2R5,Superviseur,V15_1,V15_1,V15_1.279f8ba.11/06/2020 10:11,Oracle,12.2.0.1.0,300.0,50.0,"21053812736,0","12582912000,0",4.0,2000.0,400.0,10
ALKMGBV9PA9,LKKVGB3WKDF,Superviseur,V16_1,V16_1,V16_1.59ad146.29/09/2020 11:59,Oracle,11.2.0.3.0,500.0,10.0,"270841294848,0","4194304000,0",32.0,600.0,750.0,280
QMZYGBNR,SGMTGBDAQYE,Superviseur,V16_1,V16_1,V16_1.59ad146.29/09/2020 11:59,Oracle,11.2.0.3.0,500.0,10.0,"67585863680,0","4194304000,0",24.0,600.0,750.0,88
IKIHGB7R78K,QLOCGBU3RWC,Superviseur,V16_1,V16_1,V16_1.59ad146.29/09/2020 11:59,Oracle,11.2.0.3.0,500.0,10.0,"67585863680,0","4194304000,0",24.0,600.0,750.0,97
BENBGBE5B8Y,HYVLGBIPAN2,Superviseur,V16_1,V16_1,V16_1.59ad146.29/09/2020 11:59,Oracle,11.2.0.3.0,500.0,10.0,"135365791744,0","4194304000,0",24.0,600.0,750.0,140
QARXGBY8,BJHFGBL6,Superviseur,V14_35,V14_35,V14_35.c308cd0.07/02/2020 15:56,Oracle,11.2.0.3.0,500.0,10.0,"67585863680,0","4194304000,0",24.0,600.0,750.0,85
WUVLGBWAB8W,GAWAGBBA,Ventes,V16_1,V16_1,V16_1.b369679.23/09/2020 18:41,Oracle,11.2.0.3.0,500.0,10.0,"270841286656,0","33554432000,0",32.0,600.0,1000.0,267
EPRJGBRA,HSTFGBE526Z,Superviseur,V14_2,V14_2,V14_2.ec9df5f.02/01/2020 11:31,Oracle,12.2.0.1.0,300.0,50.0,"67095908352,0","12582912000,0",40.0,2000.0,400.0,12
HVSBGBHA,QOWMGBCH,Ventes,V14_2,V14_2,V14_2.ec9df5f.02/01/2020 11:31,Oracle,12.2.0.1.0,300.0,50.0,"33737334784,0","11811160064,0",4.0,2000.0,400.0,21
ZEFPGBGFH9T,VURQGBANUU9,Ventes,V10_3,V10_3,V10_3.e450521.18/02/2020 15:42,Oracle,11.2.0.3.0,150.0,,"101502459904,0","3154116608,0",24.0,2000.0,150.0,4
AAJUGBP66JT,PGXIGBXCP5A,Superviseur,V13_1_1,V13_1_1,V13_1_1.bfa5e9.22/03/2019 18:02,Oracle,11.2.0.4.0,300.0,50.0,"16726040576,0","6291456000,0",4.0,2000.0,400.0,12
JVPQGBRU0V9,HORJGBI77LD,Ventes,V10_3,V10_3,V10_3.1eca33.06/02/2018 12:00,Oracle,11.2.0.4.0,150.0,,"67553378304,0","10502537216,0",32.0,2000.0,150.0,36
